X,Y
6.695835452,8.06049537
7.034057451,7.606094228
4.642878428,5.719749373
5.962028773,5.866443309
6.212815057,7.83296961
5.892530249,6.695400816
7.441436166,7.151977012
4.294240618,5.347168279
5.446644125,6.256526653
4.456757139,4.695125771
6.298849998,7.489353631
8.493881492,9.155759476
4.270884782,4.960918738
4.715792701,6.589565858
6.484286753,8.801746416
5.765171597,7.456726935
7.003324357,8.162808322
4.83812861,5.738101655
6.016748885,6.724209631
5.098142682,6.955635658
4.284697872,5.503462081
5.618976348,6.400761649
5.019368229,6.157018074
6.35889141,7.135652701
5.00723477,5.577835242
7.326918686,8.763282312
4.840823684,6.558797334
8.020307405,8.470695171
6.340364953,7.014887958
4.086286624,5.475740251
6.801908041,7.541790657
6.157741444,5.733731517
4.288073239,4.435255135
5.237917131,5.84593623
5.900121287,7.83397586
8.471273203,8.997879929
5.995045242,7.183474755
5.709025414,6.784662519
5.537321185,6.745424459
6.292634286,7.799634933
5.285421973,6.650268794
5.052239073,5.86306216
5.746674636,5.743130694
5.237154714,6.126648632
4.604621669,6.323949853
6.119515571,7.930646123
4.362447847,5.441334902
4.451311694,5.528157243
6.089938262,7.561507489
5.547070149,6.643396604
6.348907525,6.6325375
4.855905132,6.714540265
4.039260935,4.992198262
5.504728141,5.609207404
3.647278598,5.15439157
5.255778373,6.546968036
3.536531835,3.765167847
5.348040399,6.972909342
7.645160354,8.123329968
6.861990487,7.76839831
4.785401748,5.297797855
6.399746032,8.044911141
7.520812224,8.130208389
5.433431144,5.735877549
6.653297076,7.76730266
7.163214344,8.172935871
5.814849647,7.294794076
6.305719361,7.05454296
5.065522056,6.420398786
6.874996237,7.856002441
5.566074026,6.391874565
6.423291508,6.458060178
5.616649939,6.457513306
6.441222161,8.076086075
5.650048167,6.970173215
3.929705989,4.64226301
8.742859518,9.82791048
6.350454714,7.002102311
6.660506021,8.080470782
6.446363975,6.899139862
5.637409197,6.459245763
6.139480664,6.188273467
6.927888557,7.694412726
7.416071385,7.686837556
7.723647246,8.937979601
6.962035403,8.078874409
4.414850417,5.918952945
7.142863923,9.259749899
7.368322611,7.575234318
5.384849322,5.752273857
7.916216149,9.821073628
7.577525158,8.22939689
5.425403446,6.514351015
4.644534518,5.42141643
6.755316364,8.266197248
6.815009683,7.738483956
6.061783391,7.867320917
6.615371525,8.133022511
5.219050181,5.726853618
4.688236478,5.971760995
6.004093536,6.337045785
5.518603451,7.011222606
5.431414663,6.838841961
7.250517477,8.521453046
7.153330882,7.603049185
7.613832049,7.808800529
5.5856717,6.642343384
6.499547453,6.909601078
5.93380034,7.207196684
6.24108686,7.231896965
5.487835966,7.482155482
5.817917885,6.515545184
4.900826937,6.877214222
6.325834691,6.883818641
5.433672768,5.292871168
5.989506021,7.043886201
6.390104145,8.017308342
5.389718757,7.143528846
6.037534271,8.224345317
6.25525625,7.651972369
6.310543667,6.627994951
5.326604317,5.519218884
5.044749333,5.866438924
6.534210293,7.14868457
3.797108229,4.720491564
7.115140974,7.907935593
6.82747491,8.511060773
7.060865546,8.534790836
7.565746341,8.77579677
3.502219352,4.112788552
7.931080836,8.617737377
6.361534566,7.738900059
5.896821169,7.386605301
5.35082097,5.676041283
7.361920226,8.151538612
4.900970295,5.855533261
5.688869767,7.085772102
3.795989653,4.959172625
6.740490875,7.958356864
7.043834579,7.933310753
5.358719696,6.024806912
6.826852049,8.502340147
8.497195531,9.558535377
7.366256387,8.273532599
6.139722215,7.745832295
5.56122753,7.085686057
6.297503458,7.018308063
4.049013893,4.708500931
5.783374192,6.916627628
6.362803085,5.687179484
7.831756089,8.355824373
5.549533987,6.992912889
5.120414268,6.069509759
6.229831292,7.317352272
6.307006462,7.476561068
5.968376464,6.22484536
4.139097665,5.398475663
7.918145541,8.901274424
5.193036811,6.118983922
5.995310964,6.935552418
6.185506737,6.951639541
3.725361889,4.181661121
6.650833133,6.905288036
5.294059372,6.15340909
6.357268223,7.004800933
4.311885399,4.361306536
5.830897987,6.876084475
5.662356077,6.104856729
6.571821955,8.22620124
5.87639084,7.592217859
4.219107738,5.431029349
6.778666315,7.705563238
5.05533462,6.398341913
6.013390671,7.072024211
7.905504948,8.611009152
7.773392894,8.63712478
5.951517106,7.073452899
6.26808044,6.744360636
7.96139506,8.150073635
5.945388413,7.488425953
6.547468621,7.239995624
6.951583188,8.00377678
4.240525392,4.928128345
7.232897232,7.887341384
5.802074911,6.092191705
5.900065672,6.865507191
6.115017559,7.156621052
6.277352851,7.414487011
4.673138847,6.075547606
6.42232504,6.633562414
6.256568198,7.40378663
6.707742074,6.909175274
6.658080755,7.551524411
6.386331321,7.851968981
7.004162873,8.546809768
7.909044044,9.394603224
5.942298582,7.066317814
6.520646859,7.207977428
7.156030575,8.143110494
6.65730734,7.193788339
5.414781628,5.44673294
5.310938077,6.382686858
6.805575078,8.018308117
6.777893236,7.161279501
7.343520574,7.907698884
6.409734377,7.51544081
7.756296994,9.512637376
5.613032857,5.775411108
6.618552749,6.528461894
6.680878218,6.832557969
6.218308373,7.395210005
6.203200203,6.986173759
7.062954363,7.686111112
7.454754161,8.089049998
8.283407088,9.129931548
4.459841804,5.608511415
5.628988676,6.26523665
7.863414014,8.718828448
5.098922318,5.525996079
6.570210255,6.491050065
6.672488835,8.377741834
6.083417471,6.477024639
4.005740388,4.963163542
5.819816847,6.860513363
5.97252777,7.549284765
6.696549046,7.602808538
5.309110855,6.447696838
5.216290899,6.80917275
6.481423645,7.467894148
6.398399902,7.317179586
6.157186558,6.611391045
6.10601127,6.246650275
5.697965268,5.494992849
6.790756959,8.447094955
4.771957176,6.076428424
4.632388487,5.710631366
5.40167507,6.507162261
7.339603974,8.387341164
5.746797067,6.125445558
5.039934703,5.959845925
4.049565136,4.789059547
7.016703929,7.436565952
4.626142837,6.39243648
7.631762206,7.406481802
6.850905197,8.02357828
5.634730089,6.364757797
4.521254313,4.885364163
7.511706962,7.480064859
5.33025807,6.07605183
4.269604168,5.383554787
5.043561575,6.399471232
5.146033582,5.779447531
5.171217431,5.790247384
6.808267504,9.004122251
5.921888012,7.514118192
